song_id,title,reading,difficulty,level,constant
sayonara_hatsukoi,Sayonara Hatsukoi,,PST,1,1.5
sayonara_hatsukoi,Sayonara Hatsukoi,,PRS,4,4.5
sayonara_hatsukoi,Sayonara Hatsukoi,,FTR,7,7
sayonara_hatsukoi,Sayonara Hatsukoi,,ETR,8,8.5
fairytale,Fairytale,,PST,1,1
fairytale,Fairytale,,PRS,3,3.5
fairytale,Fairytale,,FTR,7,7
fairytale,Fairytale,,BYD,9,9.5
vexaria,Vexaria,,PST,2,2.5
vexaria,Vexaria,,PRS,5,5
vexaria,Vexaria,,FTR,7,7
vexaria,Vexaria,,BYD,9,9
rise,Rise,,PST,2,2.5
rise,Rise,,PRS,4,4
rise,Rise,,FTR,7+,7.8
lucifer,Lucifer,,PST,3,3.5
lucifer,Lucifer,,PRS,5,5.5
lucifer,Lucifer,,FTR,8,8.2
snow_white,Snow White,,PST,2,2.5
snow_white,Snow White,,PRS,5,5
snow_white,Snow White,,FTR,8,8.4
snow_white,Snow White,,BYD,9+,9.7
shades_of_light_in_a_transcendent_realm,Shades of Light in a Transcendent Realm,,PST,3,3
shades_of_light_in_a_transcendent_realm,Shades of Light in a Transcendent Realm,,PRS,6,6
shades_of_light_in_a_transcendent_realm,Shades of Light in a Transcendent Realm,,ETR,8,8.3
shades_of_light_in_a_transcendent_realm,Shades of Light in a Transcendent Realm,,BYD,9,9.1
babaroque,Babaroque,,PST,3,3
babaroque,Babaroque,,PRS,6,6.5
babaroque,Babaroque,,FTR,8,8.5
lost_civilization,Lost Civilization,,PST,4,4
lost_civilization,Lost Civilization,,PRS,7,7
lost_civilization,Lost Civilization,,FTR,9,9.2
lost_civilization,Lost Civilization,,BYD,9+,9.8
goodtek_arcaea_edit,GOODTEK(Arcaea Edit),,PST,4,4
goodtek_arcaea_edit,GOODTEK(Arcaea Edit),,PRS,6,6.5
goodtek_arcaea_edit,GOODTEK(Arcaea Edit),,FTR,9,9.3
goodtek_arcaea_edit,GOODTEK(Arcaea Edit),,BYD,9+,9.8
qualia_ideaesthesia,qualia -ideaesthesia-,,PST,4,4.5
qualia_ideaesthesia,qualia -ideaesthesia-,,PRS,7,7
qualia_ideaesthesia,qualia -ideaesthesia-,,FTR,9,9.1
qualia_ideaesthesia,qualia -ideaesthesia-,,BYD,9+,9.8
dement_after_legend,Dement ~after legend~,,PST,3,3.5
dement_after_legend,Dement ~after legend~,,PRS,6,6
dement_after_legend,Dement ~after legend~,,FTR,7+,7.8
dement_after_legend,Dement ~after legend~,,BYD,9+,9.9
dandelion,Dandelion,,PST,2,2.5
dandelion,Dandelion,,PRS,6,6
dandelion,Dandelion,,FTR,8,8.5
infinity_heaven,Infinity Heaven,,PST,1,1.5
infinity_heaven,Infinity Heaven,,PRS,5,5.5
infinity_heaven,Infinity Heaven,,FTR,7+,7.8
infinity_heaven,Infinity Heaven,,BYD,9,9.6
anokumene,Anökumene,,PST,2,2.5
anokumene,Anökumene,,PRS,6,6.5
anokumene,Anökumene,,FTR,9,9.2
anokumene,Anökumene,,BYD,9+,9.9
brand_new_world,Brand new world,,PST,2,2
brand_new_world,Brand new world,,PRS,4,4
brand_new_world,Brand new world,,FTR,7+,7.8
chronostasis,Chronostasis,,PST,3,3.5
chronostasis,Chronostasis,,PRS,7,7.5
chronostasis,Chronostasis,,FTR,8+,8.9
song_1hkk81z,神奈川電脳暗渠,,PST,1,1
song_1hkk81z,神奈川電脳暗渠,,PRS,5,5.5
song_1hkk81z,神奈川電脳暗渠,,FTR,9,9
song_1hkk81z,神奈川電脳暗渠,,BYD,9+,9.8
song_17mlbui,クロートーと星の観測者,,PST,2,2
song_17mlbui,クロートーと星の観測者,,PRS,5,5
song_17mlbui,クロートーと星の観測者,,FTR,7+,7.8
song_17mlbui,クロートーと星の観測者,,ETR,8+,8.8
utopia_of_spring,ハルトピア ~Utopia of Spring~,,PST,1,1
utopia_of_spring,ハルトピア ~Utopia of Spring~,,PRS,4,4.5
utopia_of_spring,ハルトピア ~Utopia of Spring~,,FTR,8,8.5
rabbit_in_the_black_room,Rabbit In The Black Room,,PST,2,2.5
rabbit_in_the_black_room,Rabbit In The Black Room,,PRS,5,5.5
rabbit_in_the_black_room,Rabbit In The Black Room,,FTR,8,8.4
one_last_drive,One Last Drive,,PST,2,2.5
one_last_drive,One Last Drive,,PRS,5,5.5
one_last_drive,One Last Drive,,FTR,8,8.2
dreamin_attraction,Dreamin' Attraction!!,,PST,4,4.5
dreamin_attraction,Dreamin' Attraction!!,,PRS,7,7
dreamin_attraction,Dreamin' Attraction!!,,FTR,9,9.4
reinvent,Reinvent,,PST,2,2.5
reinvent,Reinvent,,PRS,6,6.5
reinvent,Reinvent,,FTR,8,8.5
purgatorium,Purgatorium,,PST,2,2.5
purgatorium,Purgatorium,,PRS,6,6
purgatorium,Purgatorium,,FTR,8,8.4
purgatorium,Purgatorium,,BYD,9,9.6
monochrome_princess,Monochrome Princess,,PST,4,4.5
monochrome_princess,Monochrome Princess,,PRS,7+,7.8
monochrome_princess,Monochrome Princess,,FTR,9+,9.7
senkyou,Senkyou,,PST,3,3
senkyou,Senkyou,,PRS,5,5.5
senkyou,Senkyou,,FTR,8+,8.7
world_execute_me,world.execute(me);,,PST,3,3.5
world_execute_me,world.execute(me);,,PRS,5,5
world_execute_me,world.execute(me);,,FTR,8,8
rugie,Rugie,,PST,3,3
rugie,Rugie,,PRS,6,6
rugie,Rugie,,FTR,9,9.2
grimheart,Grimheart,,PST,2,2.5
grimheart,Grimheart,,PRS,5,5
grimheart,Grimheart,,FTR,8+,8.7
blaster,Blaster,,PST,4,4
blaster,Blaster,,PRS,7,7
blaster,Blaster,,FTR,9,9.3
cybernecia_catharsis,Cybernecia Catharsis,,PST,4,4
cybernecia_catharsis,Cybernecia Catharsis,,PRS,7,7
cybernecia_catharsis,Cybernecia Catharsis,,FTR,9,9.5
cybernecia_catharsis,Cybernecia Catharsis,,BYD,9+,9.8
inkar_usi,inkar-usi,,PST,2,2
inkar_usi,inkar-usi,,PRS,4,4
inkar_usi,inkar-usi,,FTR,7+,7.8
inkar_usi,inkar-usi,,BYD,9,9.4
suomi,Suomi,,PST,2,2
suomi,Suomi,,PRS,5,5
suomi,Suomi,,FTR,7+,7.8
suomi,Suomi,,ETR,8+,8.9
bookmaker_2d_version,Bookmaker (2D Version),,PST,4,4.5
bookmaker_2d_version,Bookmaker (2D Version),,PRS,6,6.5
bookmaker_2d_version,Bookmaker (2D Version),,FTR,8,8.3
bookmaker_2d_version,Bookmaker (2D Version),,BYD,10,10
song_uz6r57,堕楽の園,,PST,2,2
song_uz6r57,堕楽の園,,PRS,7,7
song_uz6r57,堕楽の園,,FTR,9,9.5
nhelv,Nhelv,,PST,3,3
nhelv,Nhelv,,PRS,6,6.5
nhelv,Nhelv,,FTR,9+,9.9
nhelv,Nhelv,,BYD,10+,10.9
song_h6tugl,白道、多希望羊と信じありく。,,PST,3,3.5
song_h6tugl,白道、多希望羊と信じありく。,,PRS,6,6
song_h6tugl,白道、多希望羊と信じありく。,,FTR,9,9.6
revixy,ReviXy,,PST,3,3
revixy,ReviXy,,PRS,7,7
revixy,ReviXy,,FTR,9,9.1
vecto,VECTOЯ,,PST,3,3
vecto,VECTOЯ,,PRS,7,7
vecto,VECTOЯ,,FTR,9,9.4
supernova,SUPERNOVA,,PST,3,3
supernova,SUPERNOVA,,PRS,6,6
supernova,SUPERNOVA,,FTR,9+,9.7
diode,Diode,,PST,2,2.5
diode,Diode,,PRS,5,5.5
diode,Diode,,FTR,8,8.1
freef4ll,FREEF4LL,,PST,4,4
freef4ll,FREEF4LL,,PRS,7,7
freef4ll,FREEF4LL,,FTR,8,8.6
freef4ll,FREEF4LL,,BYD,9+,9.8
oblivia,Oblivia,,PST,3,3.5
oblivia,Oblivia,,PRS,5,5
oblivia,Oblivia,,FTR,8,8.3
oblivia,Oblivia,,BYD,9+,9.7
avril_flicka_i_krans,Ävril -Flicka i krans-,,PST,3,3
avril_flicka_i_krans,Ävril -Flicka i krans-,,PRS,6,6
avril_flicka_i_krans,Ävril -Flicka i krans-,,FTR,8,8.3
sakura_fubuki,Sakura Fubuki,,PST,3,3.5
sakura_fubuki,Sakura Fubuki,,PRS,6,6.5
sakura_fubuki,Sakura Fubuki,,FTR,9,9.4
nulctrl,NULCTRL,,PST,3,3
nulctrl,NULCTRL,,PRS,7,7.5
nulctrl,NULCTRL,,FTR,9,9.5
ddd,DDD,,PST,2,2.5
ddd,DDD,,PRS,6,6.5
ddd,DDD,,FTR,8,8.5
song_lrozjt,ネコノテ・カリタガール,,PST,3,3
song_lrozjt,ネコノテ・カリタガール,,PRS,6,6
song_lrozjt,ネコノテ・カリタガール,,FTR,9,9.2
san_skia,san skia,,PST,3,3.5
san_skia,san skia,,PRS,6,6
san_skia,san skia,,FTR,8,8.3
altair_feat_spila,Altair (feat. *spiLa*),,PST,2,2.5
altair_feat_spila,Altair (feat. *spiLa*),,PRS,6,6
altair_feat_spila,Altair (feat. *spiLa*),,FTR,8,8.5
song_1lomedf,無機質世界に彩を,,PST,4,4
song_1lomedf,無機質世界に彩を,,PRS,6,6.5
song_1lomedf,無機質世界に彩を,,FTR,9,9.4
trap_crow,Trap Crow,,PST,4,4.5
trap_crow,Trap Crow,,PRS,7+,7.8
trap_crow,Trap Crow,,FTR,9+,9.9
song_h5n058,だいあるのーと,,PST,3,3
song_h5n058,だいあるのーと,,PRS,6,6
song_h5n058,だいあるのーと,,FTR,8+,8.8
remind_the_souls_short_version,Remind the Souls (Short Version),,PST,3,3.5
remind_the_souls_short_version,Remind the Souls (Short Version),,PRS,7,7
remind_the_souls_short_version,Remind the Souls (Short Version),,FTR,9,9.6
the_formula,The Formula,,PST,3,3
the_formula,The Formula,,PRS,6,6
the_formula,The Formula,,FTR,9,9.3
jingle,Jingle,,PST,2,2.5
jingle,Jingle,,PRS,5,5.5
jingle,Jingle,,FTR,7+,7.8
jingle,Jingle,,ETR,9,9.5
song_ca134r,エピクロスの虹はもう見えない,,PST,2,2.5
song_ca134r,エピクロスの虹はもう見えない,,PRS,5,5.5
song_ca134r,エピクロスの虹はもう見えない,,FTR,7,7.5
song_ca134r,エピクロスの虹はもう見えない,,ETR,8+,8.8
satisfaction,SATISFACTION,,PST,3,3.5
satisfaction,SATISFACTION,,PRS,6,6.5
satisfaction,SATISFACTION,,FTR,8,8.5
satisfaction,SATISFACTION,,ETR,9,9.5
dematerialized,Dematerialized,,PST,1,1.5
dematerialized,Dematerialized,,PRS,4,4.5
dematerialized,Dematerialized,,FTR,7,7.5
dematerialized,Dematerialized,,ETR,8,8.3
song_8opy3m,キャラメルポップコーンたべたいよ～,,PST,2,2.5
song_8opy3m,キャラメルポップコーンたべたいよ～,,PRS,5,5.5
song_8opy3m,キャラメルポップコーンたべたいよ～,,FTR,8,8.1
song_8opy3m,キャラメルポップコーンたべたいよ～,,ETR,9,9.1
syro,Syro,,PST,3,3.5
syro,Syro,,PRS,6,6.5
syro,Syro,,FTR,9,9.3
testify,Testify,,PST,7+,7.8
testify,Testify,,PRS,9,9.4
testify,Testify,,FTR,10+,10.9
testify,Testify,,BYD,12,12
designant,Designant.,,PST,7,7.5
designant,Designant.,,PRS,9,9.6
designant,Designant.,,FTR,10+,10.9
designant,Designant.,,BYD,11+,11.9
song_spf6xk,魔王,,PST,4,4
song_spf6xk,魔王,,PRS,7+,7.8
song_spf6xk,魔王,,FTR,10,10
song_spf6xk,魔王,,BYD,11,11.1
tempestissimo,Tempestissimo,,PST,7,7
tempestissimo,Tempestissimo,,PRS,9,9.5
tempestissimo,Tempestissimo,,FTR,10+,10.7
tempestissimo,Tempestissimo,,BYD,11,11.7
pentiment,Pentiment,,PST,7,7
pentiment,Pentiment,,PRS,8+,8.7
pentiment,Pentiment,,FTR,10,10.4
pentiment,Pentiment,,BYD,11,11.5
lament_rain,Lament Rain,,PST,6,6.5
lament_rain,Lament Rain,,PRS,8+,8.8
lament_rain,Lament Rain,,FTR,10,10.6
lament_rain,Lament Rain,,BYD,11,11.4
arcana_eden,Arcana Eden,,PST,5,5.5
arcana_eden,Arcana Eden,,PRS,8+,8.7
arcana_eden,Arcana Eden,,FTR,10,10.5
arcana_eden,Arcana Eden,,BYD,11,11.6
undying_macula,Undying Macula,,PST,5,5.5
undying_macula,Undying Macula,,PRS,8+,8.7
undying_macula,Undying Macula,,FTR,10,10.1
undying_macula,Undying Macula,,ETR,11,11
song_1o895ey,多次元宇宙融合論,,PST,6,6.5
song_1o895ey,多次元宇宙融合論,,PRS,8+,8.8
song_1o895ey,多次元宇宙融合論,,FTR,10,10.6
song_1o895ey,多次元宇宙融合論,,ETR,11,11.3
alter_ego,ALTER EGO,,PST,6,6.5
alter_ego,ALTER EGO,,PRS,9,9.2
alter_ego,ALTER EGO,,FTR,10,10.5
alter_ego,ALTER EGO,,ETR,11,11.3
aether_crest_astral,Aether Crest: Astral,,PST,6,6
aether_crest_astral,Aether Crest: Astral,,PRS,8+,8.9
aether_crest_astral,Aether Crest: Astral,,FTR,10,10.6
aether_crest_astral,Aether Crest: Astral,,ETR,11,11.5
stronger,最強STRONGER,,PST,5,5.5
stronger,最強STRONGER,,PRS,9,9.4
stronger,最強STRONGER,,FTR,11,11
lamia,LAMIA,,PST,5,5
lamia,LAMIA,,PRS,8,8.5
lamia,LAMIA,,FTR,11,11
grievous_lady,Grievous Lady,,PST,6,6.5
grievous_lady,Grievous Lady,,PRS,9,9.3
grievous_lady,Grievous Lady,,FTR,11,11.1
fracture_ray,Fracture Ray,,PST,6,6
